,disease_type,sample_type,experimental_strategy,tissue_source_site_label,platform,data_submitting_center_label,portion_is_ffpe
51,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Cedars Sinai,Illumina HiSeq,Baylor College of Medicine,NO
52,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,MD Anderson Cancer Center,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
53,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
54,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,Illumina GA,Washington University School of Medicine,NO
55,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
56,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,Illumina GA,Broad Institute of MIT and Harvard,NO
57,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,WGS,University of Pittsburgh,Illumina HiSeq,Baylor College of Medicine,NO
58,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Fox Chase Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
59,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
60,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,BC Cancer Agency,Illumina HiSeq,Baylor College of Medicine,NO
61,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
62,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
63,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Imperial College,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
64,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
65,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Washington University,Illumina HiSeq,Baylor College of Medicine,NO
66,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
67,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
68,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Fox Chase Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
69,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
70,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
71,Ovarian Serous Cystadenocarcinoma,Solid Tissue Normal,WGS,MD Anderson Cancer Center,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
72,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
73,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Cedars Sinai,Illumina HiSeq,Baylor College of Medicine,NO
74,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
75,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
76,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Cedars Sinai,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
77,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Cedars Sinai,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
78,Ovarian Serous Cystadenocarcinoma,Solid Tissue Normal,WGS,Washington University,Illumina HiSeq,Baylor College of Medicine,NO
79,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
80,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Gynecologic Oncology Group,Illumina HiSeq,Baylor College of Medicine,NO
81,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina GA,Broad Institute of MIT and Harvard,NO
82,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
83,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
84,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,WGS,Duke,Illumina HiSeq,Baylor College of Medicine,NO
85,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
86,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
87,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
88,Ovarian Serous Cystadenocarcinoma,Solid Tissue Normal,WGS,Gynecologic Oncology Group,Illumina GA,Broad Institute of MIT and Harvard,NO
89,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
90,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina GA,Washington University School of Medicine,NO
91,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
92,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
93,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
94,Ovarian Serous Cystadenocarcinoma,Solid Tissue Normal,WGS,University of Pittsburgh,Illumina HiSeq,Baylor College of Medicine,NO
95,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,Illumina GA,Broad Institute of MIT and Harvard,NO
96,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
97,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
98,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Imperial College,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
99,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
100,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
101,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
102,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,MD Anderson Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
103,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Mayo Clinic - Rochester,Illumina HiSeq,Baylor College of Medicine,NO
104,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,Illumina HiSeq,Baylor College of Medicine,NO
105,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
106,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
107,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
108,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
109,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
110,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,WGS,University of Pittsburgh,ABI SOLiD,Baylor College of Medicine,NO
111,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,LS 454,Baylor College of Medicine,NO
112,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Cedars Sinai,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
113,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Roswell Park,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
114,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
115,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,BC Cancer Agency,Illumina HiSeq,Baylor College of Medicine,NO
116,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
117,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
118,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
119,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
120,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
121,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,MD Anderson Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
122,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,MD Anderson Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
123,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Cedars Sinai,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
124,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,Illumina GA,Broad Institute of MIT and Harvard,NO
125,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Washington University,Illumina GA,Washington University School of Medicine,NO
126,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
127,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
128,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Mayo Clinic - Rochester,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
129,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,Illumina GA,Washington University School of Medicine,NO
130,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
131,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
132,Ovarian Serous Cystadenocarcinoma,Solid Tissue Normal,WGS,University of Pittsburgh,Illumina HiSeq,Baylor College of Medicine,NO
133,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
134,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
135,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
136,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
137,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
138,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Harvard,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
139,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
140,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina HiSeq,Baylor College of Medicine,NO
141,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Duke,ABI SOLiD,Baylor College of Medicine,NO
142,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
143,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
144,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
145,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
146,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina GA,Washington University School of Medicine,NO
147,Ovarian Serous Cystadenocarcinoma,Recurrent Tumor,WGS,Duke,Illumina HiSeq,Baylor College of Medicine,NO
148,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
149,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
150,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
151,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Washington University,Illumina GA,Broad Institute of MIT and Harvard,NO
152,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Duke,Illumina HiSeq,Baylor College of Medicine,NO
153,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
154,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Fox Chase Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
155,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
156,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,UCSF,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
157,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Mayo Clinic - Rochester,Illumina HiSeq,Broad Institute of MIT and Harvard,NO
158,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
159,Ovarian Serous Cystadenocarcinoma,Blood Derived Normal,WGS,Memorial Sloan Kettering,Illumina GA,Washington University School of Medicine,NO
160,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
161,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
162,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
163,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
164,Ovarian Serous Cystadenocarcinoma,Primary Tumor,WGS,Memorial Sloan Kettering,Illumina GA,Broad Institute of MIT and Harvard,NO
165,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Fox Chase Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
166,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,MD Anderson Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
167,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
168,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,University of Pittsburgh,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
169,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
170,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Duke,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
171,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
172,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Mayo Clinic - Rochester,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
173,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
174,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Washington University,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
175,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Memorial Sloan Kettering,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
176,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,Gynecologic Oncology Group,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
177,Ovarian Serous Cystadenocarcinoma,Primary Tumor,RNA-Seq,MD Anderson Cancer Center,Illumina HiSeq,Canada's Michael Smith Genome Sciences Centre,NO
